Назва,Місто/район,Зібрана площа - га,Валовий збір у початково оприбуткованій масі - ц,Урожайність з 1 га зібраної площі - ц
Одеська область,місто,263575,3457641,13.1
м.Одеса,місто,,,
м.Балта,місто,10649,191730,18
м.Білгород-Дністровський,місто,768,7197,9.4
м.Біляївка,місто,692,6647,9.6
м.Ізмаїл,місто,1241,8150,6.6
Ананьївський,район,10511,181107,17.2
Арцизький,район,11667,140397,12
Балтський,район,3820,83183,21.8
Білгород-Дністровський,район,5754,60615,10.5
Біляївський,район,6467,70098,10.8
Березівський,район,15834,194204,12.3
Болградський,район,11819,117160,9.9
Великомихайлівський,район,14385,189166,13.2
Іванівський,район,14052,138473,9.9
Ізмаїльський,район,11518,128195,11.1
Кілійський,район,5228,46980,9
Кодимський,район,6923,125149,18.1
Лиманський,район,10331,86596,8.4
Подільський,район,9771,164258,16.8
Окнянський,район,10962,226560,20.7
Любашівський,район,15047,206100,13.7
Миколаївський,район,8183,149936,18.3
Овідіопольський,район,3377,39950,11.8
Роздільнянський,район,10238,90414,8.8
Ренійський,район,3319,38519,11.6
Савранський,район,4900,110354,22.5
Саратський,район,12902,134005,10.4
Тарутинський,район,13769,196386,14.3
Татарбунарський,район,3903,23448,6
Захарівський,район,7610,90665,11.9
Ширяївський,район,17935,211999,11.8
